openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVolume,takerBuyQuoteVolume,ignore,openTime_dt,closeTime_dt,symbol,interval
1740960000000,0.5006,0.506,0.3685,0.3768,435241658.2,1741564799999,186394951.75605,1178214,212872278.9,91240076.12894,0,2025-03-03,2025-03-09 23:59:59.999,CRVUSDT,1w
1741564800000,0.3769,0.4403,0.347,0.4114,359295306.1,1742169599999,142288749.78669,772528,178897398.0,70863141.49361,0,2025-03-10,2025-03-16 23:59:59.999,CRVUSDT,1w
1742169600000,0.4114,0.5198,0.4112,0.5031,311159898.3,1742774399999,143288764.00496,715014,161284858.1,74303183.45228,0,2025-03-17,2025-03-23 23:59:59.999,CRVUSDT,1w
1742774400000,0.5032,0.61,0.4638,0.4684,416774235.0,1743379199999,220271614.09863,1055494,204326076.9,108076584.95497,0,2025-03-24,2025-03-30 23:59:59.999,CRVUSDT,1w
1743379200000,0.4685,0.5593,0.414,0.4214,498442629.0,1743983999999,250429057.54288,1305345,244907301.4,123240403.94553,0,2025-03-31,2025-04-06 23:59:59.999,CRVUSDT,1w
1743984000000,0.4216,0.6681,0.3956,0.5999,629225671.2,1744588799999,334979631.54179,1949762,313144017.2,166584051.22088,0,2025-04-07,2025-04-13 23:59:59.999,CRVUSDT,1w
1744588800000,0.5999,0.6667,0.5689,0.6,361834496.0,1745193599999,220002500.74259,1398099,174632742.6,106284672.36097,0,2025-04-14,2025-04-20 23:59:59.999,CRVUSDT,1w
1745193600000,0.6001,0.7096,0.578,0.6544,429102579.9,1745798399999,284192354.18826,1572954,214286744.2,142007991.83827,0,2025-04-21,2025-04-27 23:59:59.999,CRVUSDT,1w
1745798400000,0.6545,0.7527,0.6219,0.6896,245888487.6,1746403199999,170132341.65956,1002414,122670798.4,84902433.14831,0,2025-04-28,2025-05-04 23:59:59.999,CRVUSDT,1w
1746403200000,0.6894,0.8296,0.637,0.7817,279438723.4,1747007999999,203991505.80045,1130110,138960252.3,101453831.84869,0,2025-05-05,2025-05-11 23:59:59.999,CRVUSDT,1w
1747008000000,0.7815,0.8272,0.6476,0.6977,258173264.9,1747612799999,187063759.02616,1229122,126061915.6,91391801.84906,0,2025-05-12,2025-05-18 23:59:59.999,CRVUSDT,1w
1747612800000,0.6979,0.8622,0.6363,0.7616,321483891.5,1748217599999,243817809.1377,1770882,157981986.5,119956561.20395,0,2025-05-19,2025-05-25 23:59:59.999,CRVUSDT,1w
