symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count,openTime_dt,closeTime_dt
STRATUSDT,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
AIONBUSD,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
AIONUSDT,-0.00107000,-10.190,0.01021877,0.00000000,0.00943000,2941.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01050000,0.01080000,0.00919000,55771436.00000000,569915.46452000,1774248208591,1774334608591,23837441,23841441,4001,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
MBLBNB,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
MBLBTC,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1774248208591,1774334608591,-1,-1,0,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
MBLUSDT,-0.00003500,-3.646,0.00094206,0.00095900,0.00092500,279147.00000000,0.00092400,865325.00000000,0.00092500,568395.00000000,0.00096000,0.00096700,0.00091200,2399947131.00000000,2260902.00076800,1775030398102,1775116798102,70195845,70240028,44184,2026-04-01 07:59:58.102,2026-04-02 07:59:58.102
COTIBNB,-0.00006180,-22.547,0.00022900,0.00000000,0.00021230,116.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00027410,0.00028060,0.00018060,3436760.00000000,787.01770060,1774248208591,1774334608591,2179070,2183069,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
COTIBTC,-0.00000013,-43.333,0.00000022,0.00000000,0.00000017,710.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000030,0.00000031,0.00000016,21971871.00000000,4.73223592,1774248208591,1774334608591,17633201,17637200,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
COTIUSDT,-0.00025000,-1.944,0.01272294,0.01285000,0.01261000,3170.00000000,0.01261000,26741.00000000,0.01262000,20223.00000000,0.01286000,0.01307000,0.01228000,35685679.00000000,454026.65633000,1775030346233,1775116746233,107707411,107715434,8024,2026-04-01 07:59:06.233,2026-04-02 07:59:06.233
ALGOBUSD,0.00240000,1.172,0.19712121,0.00000000,0.20710000,91.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.20470000,0.21750000,0.16950000,3167737.00000000,624428.15850000,1774248208591,1774334608591,19521719,19525718,4000,2026-03-23 06:43:28.591,2026-03-24 06:43:28.591
