symbol,bidPrice,bidQty,askPrice,askQty
GTCBUSD,0.00000000,0.00000000,0.00000000,0.00000000
GTCUSDT,0.07900000,15061.60000000,0.08000000,59286.10000000
TORNBTC,0.00000000,0.00000000,0.00000000,0.00000000
TORNBNB,0.00000000,0.00000000,0.00000000,0.00000000
TORNBUSD,0.00000000,0.00000000,0.00000000,0.00000000
TORNUSDT,0.00000000,0.00000000,0.00000000,0.00000000
MATICTRY,0.00000000,0.00000000,0.00000000,0.00000000
ETCGBP,0.00000000,0.00000000,0.00000000,0.00000000
SOLGBP,0.00000000,0.00000000,0.00000000,0.00000000
BAKEBTC,0.00000000,0.00000000,0.00000000,0.00000000
COTIBUSD,0.00000000,0.00000000,0.00000000,0.00000000
KEEPBTC,0.00000000,0.00000000,0.00000000,0.00000000
KEEPBNB,0.00000000,0.00000000,0.00000000,0.00000000
KEEPBUSD,0.00000000,0.00000000,0.00000000,0.00000000
KEEPUSDT,0.00000000,0.00000000,0.00000000,0.00000000
SOLTRY,3544.40000000,65.68800000,3544.50000000,9.61800000
RUNEGBP,0.00000000,0.00000000,0.00000000,0.00000000
SOLBRL,413.00000000,0.64900000,413.10000000,0.64900000
SCBUSD,0.00000000,0.00000000,0.00000000,0.00000000
CHRBUSD,0.00000000,0.00000000,0.00000000,0.00000000
STMXBUSD,0.00000000,0.00000000,0.00000000,0.00000000
HNTBUSD,0.00000000,0.00000000,0.00000000,0.00000000
FTTBUSD,0.00000000,0.00000000,0.00000000,0.00000000
DOCKBUSD,0.00000000,0.00000000,0.00000000,0.00000000
ADABIDR,0.00,0.00000000,0.00,0.00000000
ERNBNB,0.00000000,0.00000000,0.00000000,0.00000000
ERNBUSD,0.00000000,0.00000000,0.00000000,0.00000000
ERNUSDT,0.00000000,0.00000000,0.00000000,0.00000000
KLAYBTC,0.00000000,0.00000000,0.00000000,0.00000000
KLAYBNB,0.00000000,0.00000000,0.00000000,0.00000000
KLAYBUSD,0.00000000,0.00000000,0.00000000,0.00000000
KLAYUSDT,0.00000000,0.00000000,0.00000000,0.00000000
RUNEEUR,0.00000000,0.00000000,0.00000000,0.00000000
MATICAUD,0.00000000,0.00000000,0.00000000,0.00000000
DOTRUB,0.00000000,0.00000000,0.00000000,0.00000000
UTKBUSD,0.00000000,0.00000000,0.00000000,0.00000000
